reg,long,lat
PS,-123.0689885,47.16656044
PS,-123.1048007,47.14284602
PS,-123.1260972,47.11563008
PS,-123.1286891,47.09466645
PS,-123.1148416,47.06906432
PS,-123.0868797,47.03434473
PS,-123.0440586,47.02946233
PS,-122.9903275,47.0214616
PS,-122.9309675,47.02087071
PS,-122.8607453,47.01563461
PS,-122.83348,47.00709367
PS,-122.7808367,47.00349862
PS,-122.7424401,47.00154754
PS,-122.6929265,47.00468938
PS,-122.6604069,47.02900297
PS,-122.6289143,47.05481803
PS,-122.5991827,47.09488183
PS,-122.5808226,47.12085908
PS,-122.54898,47.1548965
PS,-122.532611,47.18614737
PS,-122.5111605,47.20234245
PS,-122.4842926,47.21471357
